mot,trad,tag
C'était compter sans qqn.,Но тутъ вмешался...,phrases
à toutes fins utiles,for all intents and purposes,figé
qqch. de secours,backup,figé
qqch. de rechange,запасной,figé
en priorité,,figé
en plein soleil,in direct sunlight,plein
en biais,подъ угломъ,figé
bruyamment,шумно,adverbes
(ne pas) faire son âge,выглядѣть на свой возраст,figé
Ma sœur me fait de la peine.,Мнѣ жаль мою сестру.,actions
Je ne t'avais jamais vu cet air.,I had never seen you look like that.,actions
dans la doute,just to be safe,figé
Je n'ai plus jamais fait qqch.,,temps
pour la forme,half-heartedly,figé
Mais il manquait quelqu'un pour que la soirée soit vraiment parfaite.,But someone was missing for the night to truly be perfect.,phrases
tenir à qqn.,care about someone,actions
On n'est pas sorti de l'auberge.,We are not out of the woods yet.,phrases
"Je ne veux pas te vexer, mais non merci.",,paroles
outre mesure,~ excessivement,adverbes
Ça ne t'engage à rien.,,phrases
Je me rends.,Сдаюсь.,phrases
en carton,"бутафорскій, карманный",figé
